year,tech,type,HS,diff_ratio,average_ratio
2001-2007,4,4,901580000,0.066612468,-0.902329064
2008-2014,4,4,901580000,0.123146215,-0.940629169
1994-2000,4,4,901580010,1,1
2001-2007,4,4,901580010,1,1
1994-2000,4,4,901580090,1,1
2001-2007,4,4,901580090,1,1
1994-2000,4,4,901580100,-1,-1
2001-2007,4,4,901580100,-1,-1
1994-2000,4,4,901580900,-1,-1
2001-2007,4,4,901580900,-1,-1
1994-2000,4,1,901590010,1,1
2001-2007,4,1,901590010,1,1
2008-2014,4,1,901590010,1,1
1994-2000,4,1,901590090,1,1
2001-2007,4,1,901590090,1,1
2008-2014,4,1,901590090,1,1
1994-2000,4,4,901590091,1,1
1994-2000,4,4,901590099,1,1
1994-2000,4,1,901590100,-1,-1
2001-2007,4,1,901590100,-1,-1
2008-2014,4,1,901590100,-1,-1
2001-2007,4,1,901590900,-1,-1
2008-2014,4,1,901590900,-1,-1
1994-2000,4,4,901590910,-1,-1
2001-2007,4,4,901590910,-1,-1
1994-2000,4,4,901590990,-1,-1
2001-2007,4,4,901590990,-1,-1
2001-2007,4,4,901600000,-0.534180223,-0.651463101
2008-2014,4,4,901600000,0.050103399,-0.36223964
1994-2000,4,4,901600010,1,1
2001-2007,4,4,901600010,1,1
1994-2000,4,4,901600090,1,1
2001-2007,4,4,901600090,1,1
1994-2000,4,4,901600100,-1,-1
2001-2007,4,4,901600100,-1,-1
1994-2000,4,4,901600900,-1,-1
2001-2007,4,4,901600900,-1,-1
1994-2000,1,4,901710000,-0.995748612,-0.717592751
2001-2007,1,4,901710000,-0.976659779,-0.714369181
2008-2014,1,4,901710000,-0.730356878,-0.7093412
1994-2000,1,4,901720000,0.727856908,-0.592215302
2001-2007,1,4,901720000,0.924364087,-0.467987032
2008-2014,1,4,901720000,0.882372181,-0.202242981
1994-2000,4,2,901730010,1,1
2001-2007,4,2,901730010,1,1
2008-2014,4,2,901730010,1,1
1994-2000,4,2,901730090,1,1
2001-2007,4,2,901730090,1,1
2008-2014,4,2,901730090,1,1
1994-2000,4,2,901730091,1,1
1994-2000,4,2,901730092,1,1
1994-2000,4,2,901730099,1,1
1994-2000,4,2,901730100,-1,-1
2001-2007,4,2,901730100,-1,-1
2008-2014,4,2,901730100,-1,-1
1994-2000,4,2,901730910,-1,-1
2001-2007,4,2,901730910,-1,-1
2008-2014,4,2,901730910,-1,-1
1994-2000,4,2,901730920,-1,-1
2001-2007,4,2,901730920,-1,-1
2008-2014,4,2,901730920,-1,-1
1994-2000,4,2,901730930,-1,-1
2001-2007,4,2,901730930,-1,-1
2008-2014,4,2,901730930,-1,-1
1994-2000,4,2,901730990,-1,-1
2001-2007,4,2,901730990,-1,-1
2008-2014,4,2,901730990,-1,-1
1994-2000,5,4,901811000,1,1
2001-2007,5,4,901811000,0.336712955,0.539417333
2008-2014,5,4,901811000,-0.331795377,-0.378495979
1994-2000,5,4,901811100,-1,-1
2001-2007,5,4,901811100,-1,-1
1994-2000,5,4,901811900,-1,-1
2001-2007,5,4,901811900,-1,-1
1994-2000,5,4,901819010,1,1
2001-2007,5,4,901819010,1,1
2008-2014,5,4,901819010,1,1
1994-2000,5,4,901819091,1,1
2001-2007,5,4,901819091,1,1
2008-2014,5,4,901819091,1,1
1994-2000,5,4,901819098,1,1
2001-2007,5,4,901819098,1,1
2008-2014,5,4,901819098,1,1
1994-2000,5,4,901819099,1,1
1994-2000,5,3,901819100,-1,-1
2001-2007,5,3,901819100,-1,-1
2008-2014,5,3,901819100,-1,-1
1994-2000,5,4,901819210,-1,-1
2001-2007,5,4,901819210,-1,-1
2008-2014,5,4,901819210,-1,-1
1994-2000,5,4,901819290,-1,-1
2001-2007,5,4,901819290,-1,-1
2008-2014,5,4,901819290,-1,-1
1994-2000,5,4,901819900,-1,-1
2001-2007,5,4,901819900,-1,-1
2008-2014,5,4,901819900,-1,-1
1994-2000,5,4,901820000,-0.74921905,-0.976020493
2001-2007,5,4,901820000,0.468755005,-0.645150778
2008-2014,5,4,901820000,0.329141534,-0.880336662
1994-2000,4,1,901831000,-1,-1
2001-2007,4,1,901831000,-1,-1
2008-2014,4,1,901831000,-1,-1
1994-2000,4,1,901831010,1,1
2001-2007,4,1,901831010,1,1
2008-2014,4,1,901831010,1,1
1994-2000,4,1,901831020,1,1
2001-2007,4,1,901831020,1,1
2008-2014,4,1,901831020,1,1
1994-2000,5,1,901839000,-1,-1
2001-2007,5,1,901839000,-1,-1
2008-2014,5,1,901839000,-1,-1
1994-2000,5,1,901839010,1,1
2001-2007,5,1,901839010,1,1
2008-2014,5,1,901839010,1,1
1994-2000,5,1,901839021,1,1
2001-2007,5,1,901839021,1,1
2008-2014,5,1,901839021,1,1
1994-2000,5,1,901839029,1,1
2001-2007,5,1,901839029,1,1
2008-2014,5,1,901839029,1,1
1994-2000,5,4,901849010,1,1
2001-2007,5,4,901849010,1,1
2008-2014,5,4,901849010,1,1
1994-2000,5,4,901849020,1,1
2001-2007,5,4,901849020,1,1
2008-2014,5,4,901849020,1,1
1994-2000,5,4,901849090,1,1
2001-2007,5,4,901849090,1,1
2008-2014,5,4,901849090,1,1
1994-2000,5,4,901849100,-1,-1
2001-2007,5,4,901849100,-1,-1
2008-2014,5,4,901849100,-1,-1
1994-2000,5,4,901849900,-1,-1
2001-2007,5,4,901849900,-1,-1
2008-2014,5,4,901849900,-1,-1
1994-2000,5,4,901850010,1,1
2001-2007,5,4,901850010,1,1
2008-2014,5,4,901850010,1,1
1994-2000,5,4,901850090,1,1
2001-2007,5,4,901850090,1,1
2008-2014,5,4,901850090,1,1
1994-2000,5,3,901850100,-1,-1
2001-2007,5,3,901850100,-1,-1
2008-2014,5,3,901850100,-1,-1
1994-2000,5,3,901850900,-1,-1
2001-2007,5,3,901850900,-1,-1
2008-2014,5,3,901850900,-1,-1
1994-2000,5,4,901890010,1,1
2001-2007,5,4,901890010,1,1
2008-2014,5,4,901890010,1,1
1994-2000,5,4,901890021,1,1
2001-2007,5,4,901890021,1,1
2008-2014,5,4,901890021,1,1
1994-2000,5,4,901890022,1,1
2001-2007,5,4,901890022,1,1
2008-2014,5,4,901890022,1,1
1994-2000,5,4,901890023,1,1
2001-2007,5,4,901890023,1,1
2008-2014,5,4,901890023,1,1
1994-2000,5,4,901890024,1,1
2001-2007,5,4,901890024,1,1
2008-2014,5,4,901890024,1,1
1994-2000,5,4,901890029,1,1
2001-2007,5,4,901890029,1,1
2008-2014,5,4,901890029,1,1
1994-2000,5,4,901890110,-1,-1
2001-2007,5,4,901890110,-1,-1
2008-2014,5,4,901890110,-1,-1
1994-2000,5,4,901890190,-1,-1
2001-2007,5,4,901890190,-1,-1
2008-2014,5,4,901890190,-1,-1
1994-2000,5,1,901890200,-1,-1
2001-2007,5,1,901890200,-1,-1
2008-2014,5,1,901890200,-1,-1
1994-2000,5,1,901890311,-1,-1
2001-2007,5,1,901890311,-1,-1
2008-2014,5,1,901890311,-1,-1
1994-2000,5,1,901890319,-1,-1
2001-2007,5,1,901890319,-1,-1
2008-2014,5,1,901890319,-1,-1
1994-2000,5,1,901890390,-1,-1
2001-2007,5,1,901890390,-1,-1
2008-2014,5,1,901890390,-1,-1
1994-2000,5,1,901890900,-1,-1
2001-2007,5,1,901890900,-1,-1
2008-2014,5,1,901890900,-1,-1
1994-2000,5,3,901910000,0.810472052,-0.140477412
2001-2007,5,3,901910000,0.841238844,-0.35851432
2008-2014,5,3,901910000,0.910614879,-0.412767511
1994-2000,5,4,901920000,-0.064856078,-0.601768074
2001-2007,5,4,901920000,0.77282154,-0.558938943
2008-2014,5,4,901920000,0.90561038,-0.491560743
2001-2007,5,2,902110000,0.754416563,-0.873620698
2008-2014,5,2,902110000,0.767155044,-0.85952914
1994-2000,5,1,902121000,0.864899944,0.350474107
2001-2007,5,1,902121000,0.026521122,-0.797687599
2008-2014,5,1,902121000,-1,-1
2001-2007,5,1,902121010,1,1
2008-2014,5,1,902121010,1,1
2001-2007,5,1,902121090,1,1
2008-2014,5,1,902121090,1,1
2001-2007,5,1,902131000,-0.108960435,-0.573175337
2008-2014,5,1,902131000,0.608820038,-0.066048361
2001-2007,5,1,902139000,-0.914032091,-0.283424383
2008-2014,5,1,902139000,-0.865046845,-0.425020872
2001-2007,5,3,902150000,1,1
1994-2000,5,1,902190000,-0.43605713,-0.410351082
2001-2007,5,1,902190000,0.614361181,0.420379752
2008-2014,5,1,902190000,0.731896203,0.054989446
1994-2000,5,4,902219000,-0.986330461,-0.742629927
2001-2007,5,4,902219000,-0.991593875,-0.209297603
2008-2014,5,4,902219000,-0.87326808,-0.410119108
1994-2000,5,4,902221000,-1,-1
2001-2007,5,4,902221000,-1,-1
2008-2014,5,4,902221000,0.348116428,-0.074967915
1994-2000,4,4,902229000,-0.973379325,-0.980925526
2001-2007,4,4,902229000,-0.962714791,-0.708736646
2008-2014,4,4,902229000,-0.958399249,-0.566263822
2001-2007,5,2,902230000,-1,-1
2008-2014,5,2,902230000,-1,-1
1994-2000,5,2,902230010,1,1
2001-2007,5,2,902230010,1,1
2008-2014,5,2,902230010,1,1
1994-2000,5,2,902230090,1,1
2001-2007,5,2,902230090,1,1
2008-2014,5,2,902230090,1,1
1994-2000,5,2,902230100,-1,-1
2001-2007,5,2,902230100,-1,-1
1994-2000,5,2,902230900,-1,-1
2001-2007,5,2,902230900,-1,-1
1994-2000,5,3,902290010,1,1
2001-2007,5,3,902290010,1,1
2008-2014,5,3,902290010,1,1
1994-2000,5,3,902290021,1,1
2001-2007,5,3,902290021,1,1
2008-2014,5,3,902290021,1,1
1994-2000,5,3,902290029,1,1
2001-2007,5,3,902290029,1,1
2008-2014,5,3,902290029,1,1
1994-2000,5,3,902290100,-1,-1
2001-2007,5,3,902290100,-1,-1
1994-2000,5,2,902290910,-1,-1
2001-2007,5,2,902290910,-1,-1
2008-2014,5,2,902290910,-1,-1
1994-2000,5,2,902290990,-1,-1
2001-2007,5,2,902290990,-1,-1
2008-2014,5,2,902290990,-1,-1
1994-2000,1,4,902300000,-0.134742151,-0.304881512
2001-2007,1,4,902300000,0.623118765,-0.332782534
2008-2014,1,4,902300000,0.754892625,-0.475713374
2001-2007,4,4,902410000,-0.948131802,-0.526018121
2008-2014,4,4,902410000,-0.839655713,-0.332155036
1994-2000,4,4,902410010,1,1
2001-2007,4,4,902410010,1,1
1994-2000,4,4,902410090,1,1
2001-2007,4,4,902410090,1,1
1994-2000,4,4,902410100,-1,-1
2001-2007,4,4,902410100,-1,-1
1994-2000,4,4,902410900,-1,-1
2001-2007,4,4,902410900,-1,-1
2001-2007,4,4,902480000,-0.865458248,-0.692296799
2008-2014,4,4,902480000,-0.845230552,-0.385948307
1994-2000,4,4,902480010,1,1
2001-2007,4,4,902480010,1,1
1994-2000,4,4,902480090,1,1
2001-2007,4,4,902480090,1,1
1994-2000,4,4,902480100,-1,-1
2001-2007,4,4,902480100,-1,-1
1994-2000,4,4,902480900,-1,-1
2001-2007,4,4,902480900,-1,-1
2001-2007,4,4,902519000,-1,-1
2008-2014,4,4,902519000,-1,-1
1994-2000,4,4,902519010,1,1
2001-2007,4,4,902519010,1,1
2008-2014,4,4,902519010,1,1
1994-2000,4,4,902519090,1,1
2001-2007,4,4,902519090,1,1
2008-2014,4,4,902519090,1,1
1994-2000,4,4,902519100,-1,-1
2001-2007,4,4,902519100,-1,-1
1994-2000,4,4,902519900,-1,-1
2001-2007,4,4,902519900,-1,-1
2001-2007,4,2,902610000,1,1
2008-2014,4,2,902610000,1,1
1994-2000,4,2,902610010,1,1
2001-2007,4,2,902610010,1,1
1994-2000,4,2,902610090,1,1
2001-2007,4,2,902610090,1,1
1994-2000,4,2,902610110,-1,-1
2001-2007,4,2,902610110,-1,-1
2008-2014,4,2,902610110,-1,-1
1994-2000,4,2,902610190,-1,-1
2001-2007,4,2,902610190,-1,-1
2008-2014,4,2,902610190,-1,-1
1994-2000,4,2,902610900,-1,-1
2001-2007,4,2,902610900,-1,-1
2008-2014,4,2,902610900,-1,-1
1994-2000,4,4,902620010,1,1
2001-2007,4,4,902620010,1,1
2008-2014,4,4,902620010,1,1
1994-2000,4,4,902620090,1,1
2001-2007,4,4,902620090,1,1
2008-2014,4,4,902620090,1,1
1994-2000,4,4,902620110,-1,-1
2001-2007,4,4,902620110,-1,-1
2008-2014,4,4,902620110,-1,-1
1994-2000,4,4,902620190,-1,-1
2001-2007,4,4,902620190,-1,-1
2008-2014,4,4,902620190,-1,-1
1994-2000,4,4,902620900,-1,-1
2001-2007,4,4,902620900,-1,-1
2008-2014,4,4,902620900,-1,-1
1994-2000,4,2,902690000,-0.519185633,-0.580725487
2001-2007,4,2,902690000,-0.283806494,-0.382569036
2008-2014,4,2,902690000,-0.324737603,-0.643460995
1994-2000,8,4,902710000,-0.984808195,-0.047896411
2001-2007,8,4,902710000,-0.729905223,0.249045214
2008-2014,8,4,902710000,-0.843506608,0.139813716
1994-2000,4,4,902720000,-0.997009423,-0.492545351
2001-2007,4,4,902720000,-0.085883802,-0.002440405
2008-2014,4,4,902720000,0.080926842,-0.168353599
2001-2007,4,4,902730000,0.106800451,-0.155379282
2008-2014,4,4,902730000,-0.299000789,-0.493993214
1994-2000,4,4,902730010,1,1
2001-2007,4,4,902730010,1,1
1994-2000,4,4,902730090,1,1
2001-2007,4,4,902730090,1,1
1994-2000,4,4,902730100,-1,-1
2001-2007,4,4,902730100,-1,-1
1994-2000,4,4,902730900,-1,-1
2001-2007,4,4,902730900,-1,-1
1994-2000,4,4,902750000,-0.984354549,-0.454816205
2001-2007,4,4,902750000,-0.658532099,-0.322133109
2008-2014,4,4,902750000,-0.802290599,-0.509113541
1994-2000,4,4,902780011,1,1
2001-2007,4,4,902780011,1,1
2008-2014,4,4,902780011,1,1
1994-2000,4,4,902780019,1,1
2001-2007,4,4,902780019,1,1
2008-2014,4,4,902780019,1,1
1994-2000,4,4,902780090,1,1
2001-2007,4,4,902780090,1,1
2008-2014,4,4,902780090,1,1
1994-2000,4,4,902780091,1,1
1994-2000,4,4,902780110,-1,-1
2001-2007,4,4,902780110,-1,-1
2008-2014,4,4,902780110,-1,-1
2001-2007,4,4,902780120,-1,-1
1994-2000,4,4,902780190,-1,-1
2001-2007,4,4,902780190,-1,-1
2008-2014,4,4,902780190,-1,-1
1994-2000,4,4,902780910,-1,-1
2001-2007,4,4,902780910,-1,-1
2008-2014,4,4,902780910,-1,-1
1994-2000,4,4,902780990,-1,-1
2001-2007,4,4,902780990,-1,-1
2008-2014,4,4,902780990,-1,-1
1994-2000,4,4,902790010,1,1
2001-2007,4,4,902790010,1,1
2008-2014,4,4,902790010,1,1
1994-2000,4,4,902790090,1,1
2001-2007,4,4,902790090,1,1
2008-2014,4,4,902790090,1,1
1994-2000,4,1,902790100,-1,-1
2001-2007,4,1,902790100,-1,-1
2008-2014,4,1,902790100,-1,-1
1994-2000,4,1,902790900,-1,-1
2001-2007,4,1,902790900,-1,-1
2008-2014,4,1,902790900,-1,-1
1994-2000,4,3,902810000,-0.980714531,-0.74324594
2001-2007,4,3,902810000,-0.666494008,0.620911398
2008-2014,4,3,902810000,-0.953941413,-0.157238538
1994-2000,4,3,902830000,-0.805176276,-0.163199684
2001-2007,4,3,902830000,0.211125961,0.068778755
2008-2014,4,3,902830000,0.116231034,-0.26223071
1994-2000,4,3,902920010,1,1
2001-2007,4,3,902920010,1,1
2008-2014,4,3,902920010,1,1
1994-2000,4,3,902920090,1,1
2001-2007,4,3,902920090,1,1
2008-2014,4,3,902920090,1,1
1994-2000,4,3,902920100,-1,-1
2001-2007,4,3,902920100,-1,-1
2008-2014,4,3,902920100,-1,-1
1994-2000,4,3,902920910,-1,-1
2001-2007,4,3,902920910,-1,-1
2008-2014,4,3,902920910,-1,-1
1994-2000,4,3,902920920,-1,-1
2001-2007,4,3,902920920,-1,-1
2008-2014,4,3,902920920,-1,-1
1994-2000,4,3,902920990,-1,-1
2001-2007,4,3,902920990,-1,-1
2008-2014,4,3,902920990,-1,-1
1994-2000,8,4,903010000,-0.760818139,-0.42573284
2001-2007,8,4,903010000,-0.717887546,-0.489062298
2008-2014,8,4,903010000,-0.268003774,-0.096037831
1994-2000,4,4,903020000,-0.73229515,-0.51540732
2001-2007,4,4,903020000,0.443646591,-0.153531391
2008-2014,4,4,903020000,0.747985527,-0.171749637
1994-2000,4,3,903031000,0.01479944,-0.650352666
2001-2007,4,3,903031000,0.360981586,-0.447964813
2008-2014,4,3,903031000,0.500498483,-0.616954734
2001-2007,4,4,903039000,-0.580390168,-0.789473472
2008-2014,4,4,903039000,-0.521006657,-0.391867901
1994-2000,4,4,903039010,1,1
2001-2007,4,4,903039010,1,1
1994-2000,4,4,903039090,1,1
2001-2007,4,4,903039090,1,1
1994-2000,4,4,903039100,-1,-1
2001-2007,4,4,903039100,-1,-1
1994-2000,4,4,903039900,-1,-1
2001-2007,4,4,903039900,-1,-1
1994-2000,4,3,903040000,-0.960984201,-0.537400893
2001-2007,4,3,903040000,-0.713498273,-0.04491618
2008-2014,4,3,903040000,-0.830173877,-0.38872213
1994-2000,4,4,903089010,1,1
2001-2007,4,4,903089010,1,1
2008-2014,4,4,903089010,1,1
1994-2000,4,4,903089091,1,1
2001-2007,4,4,903089091,1,1
2008-2014,4,4,903089091,1,1
2008-2014,4,4,903089092,1,1
1994-2000,4,4,903089099,1,1
2001-2007,4,4,903089099,1,1
2008-2014,4,4,903089099,1,1
1994-2000,4,4,903089100,-1,-1
2001-2007,4,4,903089100,-1,-1
2008-2014,4,4,903089100,-1,-1
1994-2000,4,4,903089910,-1,-1
2001-2007,4,4,903089910,-1,-1
2008-2014,4,4,903089910,-1,-1
1994-2000,4,4,903089920,-1,-1
1994-2000,4,4,903089990,-1,-1
2001-2007,4,4,903089990,-1,-1
2008-2014,4,4,903089990,-1,-1
1994-2000,4,4,903110000,-0.857565589,-0.297146421
2001-2007,4,4,903110000,-0.737649586,-0.413919356
2008-2014,4,4,903110000,-0.972648772,-0.785326394
1994-2000,4,3,903120000,-0.986506072,-0.868597131
2001-2007,4,3,903120000,-0.497244452,-0.266158142
2008-2014,4,3,903120000,-0.985468046,-0.528471617
2008-2014,4,3,903149010,1,1
2001-2007,4,3,903149100,-1,-1
2008-2014,4,3,903149100,-1,-1
1994-2000,4,4,903180011,1,1
2001-2007,4,4,903180011,1,1
2008-2014,4,4,903180011,1,1
1994-2000,4,4,903180012,1,1
2001-2007,4,4,903180012,1,1
2008-2014,4,4,903180012,1,1
1994-2000,4,4,903180013,1,1
2001-2007,4,4,903180013,1,1
2008-2014,4,4,903180013,1,1
1994-2000,4,4,903180019,1,1
2001-2007,4,4,903180019,1,1
2008-2014,4,4,903180019,1,1
1994-2000,4,4,903180090,1,1
2001-2007,4,4,903180090,1,1
2008-2014,4,4,903180090,1,1
1994-2000,4,4,903180110,-1,-1
2001-2007,4,4,903180110,-1,-1
2008-2014,4,4,903180110,-1,-1
1994-2000,4,4,903180190,-1,-1
2001-2007,4,4,903180190,-1,-1
2008-2014,4,4,903180190,-1,-1
1994-2000,4,4,903180900,-1,-1
2001-2007,4,4,903180900,-1,-1
2008-2014,4,4,903180900,-1,-1
1994-2000,4,3,903281000,-0.983658327,-0.250276629
2001-2007,4,3,903281000,-0.391904976,-0.13796708
2008-2014,4,3,903281000,-0.672774432,0.164583554
1994-2000,4,3,903289010,1,1
2001-2007,4,3,903289010,1,1
2008-2014,4,3,903289010,1,1
1994-2000,4,3,903289090,1,1
2001-2007,4,3,903289090,1,1
2008-2014,4,3,903289090,1,1
1994-2000,4,3,903289111,-1,-1
2001-2007,4,3,903289111,-1,-1
2008-2014,4,3,903289111,-1,-1
1994-2000,4,3,903289112,-1,-1
2001-2007,4,3,903289112,-1,-1
2008-2014,4,3,903289112,-1,-1
1994-2000,4,3,903289119,-1,-1
2001-2007,4,3,903289119,-1,-1
2008-2014,4,3,903289119,-1,-1
1994-2000,4,3,903289190,-1,-1
2001-2007,4,3,903289190,-1,-1
2008-2014,4,3,903289190,-1,-1
1994-2000,4,3,903289900,-1,-1
2001-2007,4,3,903289900,-1,-1
2008-2014,4,3,903289900,-1,-1
1994-2000,4,2,903300000,-0.252940401,-0.30926277
2001-2007,4,2,903300000,0.039412736,-0.463818433
2008-2014,4,2,903300000,-0.057450238,-0.133430748
1994-2000,3,2,940110000,-0.521304173,-0.454709276
2001-2007,3,2,940110000,-1,-1
2008-2014,3,2,940110000,-0.418996851,-0.247854211
1994-2000,4,4,940290000,-0.146701286,0.045165364
2001-2007,4,4,940290000,-0.096007833,-0.362949084
2008-2014,4,4,940290000,0.643659998,-0.220585541
1994-2000,6,1,950639000,0.61927737,-0.165303671
2001-2007,6,1,950639000,0.682368707,0.162072584
2008-2014,6,1,950639000,0.884504873,0.492481587
1994-2000,6,1,950730000,0.764545212,1
2001-2007,6,1,950730000,0.731890003,1
